Week,Year,Team 1,Team 2,Winner/tie,Loser/tie,Pts,Pts.1
1,1970,Rams,Cardinals,Rams,Cardinals,34,13
1,1970,Bears,Giants,Bears,Giants,24,16
1,1970,Bills,Broncos,Broncos,Bills,25,10
1,1970,Raiders,Bengals,Bengals,Raiders,31,21
1,1970,Cowboys,Eagles,Cowboys,Eagles,17,7
1,1970,Dolphins,Patriots,Patriots,Dolphins,27,14
1,1970,Steelers,Oilers,Oilers,Steelers,19,7
1,1970,Saints,Falcons,Falcons,Saints,14,3
1,1970,Lions,Packers,Lions,Packers,40,0
1,1970,Colts,Chargers,Colts,Chargers,16,14
1,1970,Chiefs,Vikings,Vikings,Chiefs,27,10
1,1970,49ers,Redskins,49ers,Redskins,26,17
1,1970,Jets,Browns,Browns,Jets,31,21
2,1970,Bills,Rams,Rams,Bills,19,0
2,1970,Lions,Bengals,Lions,Bengals,38,3
2,1970,Patriots,Jets,Jets,Patriots,31,21
2,1970,Packers,Falcons,Packers,Falcons,27,24
2,1970,Eagles,Bears,Bears,Eagles,20,16
2,1970,Cardinals,Redskins,Cardinals,Redskins,27,17
2,1970,Cowboys,Giants,Cowboys,Giants,28,10
2,1970,Oilers,Dolphins,Dolphins,Oilers,20,10
2,1970,Vikings,Saints,Vikings,Saints,26,0
2,1970,49ers,Browns,49ers,Browns,34,31
2,1970,Steelers,Broncos,Broncos,Steelers,16,13
2,1970,Chargers,Raiders,Chargers,Raiders,27,27
2,1970,Chiefs,Colts,Chiefs,Colts,44,24
3,1970,Dolphins,Raiders,Dolphins,Raiders,20,13
3,1970,Steelers,Browns,Browns,Steelers,15,7
3,1970,49ers,Falcons,Falcons,49ers,21,20
3,1970,Bills,Jets,Bills,Jets,34,31
3,1970,Bengals,Oilers,Oilers,Bengals,20,13
3,1970,Colts,Patriots,Colts,Patriots,14,6
3,1970,Redskins,Eagles,Redskins,Eagles,33,21
3,1970,Cardinals,Cowboys,Cardinals,Cowboys,20,7
3,1970,Saints,Giants,Saints,Giants,14,10
3,1970,Broncos,Chiefs,Broncos,Chiefs,26,13
3,1970,Vikings,Packers,Packers,Vikings,13,10
3,1970,Rams,Chargers,Rams,Chargers,37,10
3,1970,Lions,Bears,Lions,Bears,28,14
4,1970,Jets,Dolphins,Dolphins,Jets,20,6
4,1970,Steelers,Bills,Steelers,Bills,23,10
4,1970,Browns,Bengals,Browns,Bengals,30,27
4,1970,Lions,Redskins,Redskins,Lions,31,10
4,1970,Giants,Eagles,Giants,Eagles,30,23
4,1970,Falcons,Cowboys,Cowboys,Falcons,13,0
4,1970,Vikings,Bears,Vikings,Bears,24,0
4,1970,Saints,Cardinals,Cardinals,Saints,24,17
4,1970,Colts,Oilers,Colts,Oilers,24,20
4,1970,Raiders,Broncos,Raiders,Broncos,35,23
4,1970,Patriots,Chiefs,Chiefs,Patriots,23,10
4,1970,49ers,Rams,49ers,Rams,20,6
4,1970,Chargers,Packers,Packers,Chargers,22,20
5,1970,Dolphins,Bills,Dolphins,Bills,33,14
5,1970,Browns,Lions,Lions,Browns,41,24
5,1970,Jets,Colts,Colts,Jets,29,22
5,1970,Eagles,Cardinals,Cardinals,Eagles,35,20
5,1970,Patriots,Giants,Giants,Patriots,16,0
5,1970,Chargers,Bears,Chargers,Bears,20,7
5,1970,Rams,Packers,Rams,Packers,31,21
5,1970,Oilers,Steelers,Steelers,Oilers,7,3
5,1970,Broncos,Falcons,Broncos,Falcons,24,10
5,1970,Bengals,Chiefs,Chiefs,Bengals,27,19
5,1970,Cowboys,Vikings,Vikings,Cowboys,54,13
5,1970,49ers,Saints,49ers,Saints,20,20
5,1970,Redskins,Raiders,Raiders,Redskins,34,20
6,1970,Saints,Falcons,Falcons,Saints,32,14
6,1970,Bills,Jets,Bills,Jets,10,6
6,1970,Redskins,Bengals,Redskins,Bengals,20,0
6,1970,Browns,Dolphins,Browns,Dolphins,28,0
6,1970,Giants,Cardinals,Giants,Cardinals,35,17
6,1970,Lions,Bears,Lions,Bears,16,10
6,1970,Colts,Patriots,Colts,Patriots,27,3
6,1970,Eagles,Packers,Packers,Eagles,30,17
6,1970,Cowboys,Chiefs,Cowboys,Chiefs,27,16
6,1970,Broncos,49ers,49ers,Broncos,19,14
6,1970,Chargers,Oilers,Chargers,Oilers,31,31
6,1970,Raiders,Steelers,Raiders,Steelers,31,14
6,1970,Vikings,Rams,Vikings,Rams,13,3
7,1970,Bears,Falcons,Bears,Falcons,23,14
7,1970,Patriots,Bills,Bills,Patriots,45,10
7,1970,Browns,Chargers,Chargers,Browns,27,10
7,1970,Lions,Vikings,Vikings,Lions,30,17
7,1970,Jets,Giants,Giants,Jets,22,10
7,1970,Dolphins,Colts,Colts,Dolphins,35,0
7,1970,Cardinals,Oilers,Cardinals,Oilers,44,0
7,1970,Eagles,Cowboys,Cowboys,Eagles,21,17
7,1970,Saints,Rams,Rams,Saints,30,17
7,1970,Redskins,Broncos,Redskins,Broncos,19,3
7,1970,Packers,49ers,49ers,Packers,26,10
7,1970,Raiders,Chiefs,Raiders,Chiefs,17,17
7,1970,Steelers,Bengals,Steelers,Bengals,21,10
